city	state	permalink	created_at	lat	long	color
Ames	Iowa	one-yn-gbfpn	15/09/14 21:31	42.024837	-93.615541	blue
Alexandria 	VA	unhgr-qbtf-byq-gbja-yyp	16/09/14 18:10	38.813851	-77.044462	blue
Hollywood 	CA	101-pbssrr-fubc	16/09/14 18:58	34.105399	-118.323868	blue
New York	NY	yvggyr-fny-f	16/09/14 21:15	40.736794	-73.992036	blue
Los Angeles	CA	fvzcyrguvatf-fnaqjvpu-naq-cvr-fubc	16/09/14 22:49	34.060622	-118.444593	blue
Tucson	AZ	ivin-f-one-tevyy	16/09/14 23:14	32.250564	-110.942779	blue
Carmel	IN	cvmmbybtl-pnezry-va	17/09/14 16:07	39.979892	-86.07221	blue
Franklin	GA	ybpbzrk-ba-gur-evire	17/09/14 20:19	33.279609	-85.09932	blue
Harrisonburg	VA	oynpx-sberfg-erfgnhenag	17/09/14 21:06	38.446294	-78.853584	green
Seattle	WA	gur-qbahg-ubyr-zrtna-f-grfg-nppbhag	17/09/14 21:09	47.581612	-122.518363	green
Memphis	TN	vzntvar-irtna-pnsr	17/09/14 21:14	35.11932	-89.985668	green
Reisterstown	MD	wnin-znzznf	18/09/14 15:48	39.461412	-76.828126	green
Las Vegas	Nevada	xnvyla-f-qvare	18/09/14 17:51	36.100649	-115.099351	green
Sandwich	IL	gvzore-perrx-pbairagvba-pragre	18/09/14 19:53	41.651571	-88.573463	green
San Antonio	TX	penir-sbbq-gehpx	18/09/14 19:58	29.422907	-98.493067	green
Oakland	CA	qvivat-qbt-oerjubhfr	18/09/14 23:22	37.807694	-122.269962	green
Brockton	MA	ww-f-pnsr	19/09/14 15:20	42.098532	-71.020318	green
Lee	MA	purm-abhf	19/09/14 17:08	42.307785	-73.250382	green
Chicago	IL	gurngre-jvg-one	19/09/14 17:57	41.939573	-87.660246	green
Lakeland	FL	pyrirynaq-urvtugf-tbys-pbhefr	19/09/14 18:13	28.01016	-81.945654	green
Oak Bluffs	MA	fxvaal-f-sng-fnaqjvpurf	19/09/14 18:38	41.456783	-70.557816	green
Long Beach	CA	penml-perbyr-pnsr-sbbq-gehpx	19/09/14 20:35	33.777917	-118.189104	green
Redondo Beach	CA 	gxc-cebivfvbaf	19/09/14 21:36	33.822229	-118.385104	green
Geneva	IL	snivb-f-cvmmrevn	20/09/14 19:41	41.886296	-88.277726	green
Colbert	WA	znpf	22/09/14 19:55	47.863961	-117.387585	green
Detroit	MI	fryqra-fgnaqneq	23/09/14 17:48	42.347788	-83.064994	green
Baltimore	MD	pynex-ohetre	23/09/14 23:21	39.363605	-76.609974	green
Alpharetta	GA	bevtvany-cnapnxr-ubhfr	24/09/14 15:35	34.08913	-84.265053	green
Brooklyn	NY	yvggyr-zb-f	24/09/14 18:19	40.696983	-73.933663	green
Miami Beach	FL	cndhvgbf-yhapu	25/09/14 14:48	25.776412	-80.133715	green
Petaluma	CA	sbhepurggr	25/09/14 15:22	38.277995	-122.672748	green
Ridgefield	CT	hcfgnvef-pnsr	25/09/14 18:58	41.283737	-73.497336	green
Nashville	TN	fzbxva-guvtuf	26/09/14 16:01	36.133135	-86.769923	green
Miami Beach	Florida	gur-furyyl-ubgry	27/09/14 01:22	25.779009	-80.132344	green
Los Angeles	CA	gur-guerr-pyhof	27/09/14 02:23	34.091595	-118.327009	green
Olympia	WA	heona-bavba	29/09/14 16:57	47.04353	-122.900591	green
Louisville	KY	uvyyovyyl-grn-onkgre-nir	29/09/14 21:44	38.240042	-85.724924	green
West Palm Beach	FL	gebcvpf-pbaprffvbaf	30/09/14 00:45	26.66581	-80.068963	green
Old Greenwich	CT	yr-sng-cbbqyr	01/10/14 00:11	41.032136	-73.567196	green
Madison	WI	gur-fcbegf-cho	01/10/14 19:51	43.124427	-89.324419	green
Petaluma 	CA 	yiq-jvar-one	01/10/14 22:28	38.233138	-122.636851	green
Loveland	CO	ynherngr-choyvpx-ubhfr	02/10/14 19:56	40.397004	-105.07317	green
Inglewood	CA	guerr-jrniref	02/10/14 20:06	33.960821	-118.374614	green
Columbus	OH	ynaq-tenag-oerjvat-pbzcnal	02/10/14 22:36	39.957856	-83.011517	green
Northampton	MA	pbaivab-jvar-onne	03/10/14 15:33	42.318292	-72.629991	green
New York	NY	bvwv	07/10/14 18:31	40.727263	-73.985845	green
Miami	FL	nqevraar-nefug-pragre	07/10/14 19:40	25.787684	-80.188633	green
Stockton	CA	fgevatf-pnsr-2aq	07/10/14 21:08	38.053467	-121.374315	green
Newport	Kentucky	lbex-fgerrg-pnsr	07/10/14 21:18	39.088598	-84.493212	green
Geneva	IL	cerfreingvba-oernq-jvar	07/10/14 21:35	41.882168	-88.308943	green
San Francisco	CA	svber	08/10/14 16:44	37.751871	-122.422663	green
Glendale	CA 	fuvenm-erfgnhenag	08/10/14 17:00	34.144157	-118.248834	green
Santa Monica	California	sbezn-fnagn-zbavpn	08/10/14 20:19	34.033922	-118.492826	green
Livermore	CA	urevgntr-rfgngrf	08/10/14 21:05	37.678838	-121.785043	green
New York	NY	rssl-f-pnsr-ng-92aq-fg	08/10/14 23:04	40.783062	-73.95268	green
Media	PA	funer-r-chawno	09/10/14 17:28	39.918141	-75.392523	green
Mountain View	CA	furyy-fubpx-erfgnhenag	10/10/14 22:03	37.394768	-122.078675	green
Cary	NC	yn-fuvfu	13/10/14 15:24	35.80023	-78.768416	green
Oak Creek	WI	gur-pryyne-cho-tevyy	13/10/14 18:39	42.857989	-87.926633	green
KILLINGTON	VERMONT	wnk-sbbq-naq-tnzrf	13/10/14 21:51	43.64937	-72.788063	green
Hollywood	FL	frabe-pnsr	14/10/14 15:03	25.998151	-80.143347	green
New York	NY	jvyq-rqvoyrf-tenaq-prageny	15/10/14 18:44	40.752496	-73.977302	green
New York	NY	jvyq-rqvoyrf-blfgre-one	15/10/14 18:45	40.746573	-73.977031	green
PORT TOWNSEND	WA	sbhagnva-pnsr	15/10/14 18:59	48.115081	-122.75779	green
New York	NY	fghqvb-pnssr	15/10/14 22:22	40.745752	-74.008595	green
Hawaiian Gardens	CA	cub-znl	15/10/14 22:43	33.831185	-118.072992	green
Omaha	Nebraska	yvggyr-rfcnan	16/10/14 00:40	41.232797	-96.085076	green
Chicago	Il	gnpb-puvab	16/10/14 17:04	41.967031	-87.713804	green
Flora	MS	oyhr-ebbfgre	17/10/14 16:31	32.542923	-90.310403	green
Ferndale	MI	gur-rzbel	17/10/14 19:17	42.459886	-83.133508	green
Suisun	CA	vebajbbq-nzrevpna-ovfgeb	20/10/14 17:45	38.244008	-122.040448	green
Perrysburg	Ohio	wo-f-fneavr-fubccr	20/10/14 20:48	41.52755	-83.645122	green
Naples	FL	zrerqnl-f-svar-qvavat	20/10/14 23:19	26.139218	-81.786001	green
Hudson	Ohio	ivin-orar-tbhezrg	21/10/14 19:40	41.242969	-81.440243	green
West Tisbury	MA	fgngr-ebnq	21/10/14 21:56	41.403816	-70.675139	green
Miami Beach	FL	obyvine-erfgnhenag	22/10/14 23:32	25.776524	-80.13352	green
Charlottesville	VA	sversyl-rnfg-znexrg-fgerrg	22/10/14 23:52	38.025724	-78.46711	green
Boulder Creek	California	obhyqre-perrx-oerjvat-pbzcnal	23/10/14 20:01	37.12326	-122.121336	green
Little Rock	AR	oyhr-pnabr-oerjvat-pb	23/10/14 20:15	34.745374	-92.26639	green
Winter Park	co	uvqrnjnl-cnex-oerjrel	23/10/14 22:11	39.918029	-105.784057	green
Klamath Falls	OR	irgrenaf-bs-sbervta-jnef-1383	23/10/14 23:05	42.223857	-121.782284	green
Brooklyn	NY	pryroevgl-frj-vaf-oebbxyla	24/10/14 14:47	40.669848	-73.908051	green
Glen Allen	VA	gur-jvar-ybsg	24/10/14 21:49	37.648484	-77.6023	green
Los Angeles	CA	erq-svfu-xvgpura	25/10/14 00:17	34.055406	-118.385389	green
Littleton	CO	gur-znabe-ubhfr	27/10/14 18:15	39.58981	-105.168497	green
Wyandotte	MI	wbrf-unzohetref	27/10/14 19:03	42.20249	-83.14914	green
Bristol	RI	puevfgvna-f-jbbq-sverq-tevyyr	27/10/14 21:14	41.672252	-71.278411	green
Chicago	IL	oneyrl-naq-oenff	27/10/14 21:26	41.902891	-87.677931	green
Waikoloa	HI	fbyvzrar	28/10/14 01:11	19.916421	-155.882197	green
Grand Prairie	TX	pvgl-bs-tenaq-cenvevr	28/10/14 15:26	32.74827	-97.008224	green
New York	NY	iba	28/10/14 16:44	40.725475	-73.99259	green
Burbank	CA	fvzcyr-guvatf-erfgnhenag-8310-j	28/10/14 16:51	34.151894	-118.343268	green
Milwaukee	WI	gur-oebja-obggyr	28/10/14 19:38	43.051169	-87.913983	green
Imlay	MI	gur-zhyrsbbg-tnfgebcho	28/10/14 19:58	43.017619	-83.072519	green
Houston	TX	onunzn-ohpxf-envqre-vpr-3	28/10/14 21:48	29.950245	-95.584935	green
Milwaukee	WI	fcvgsverf-ba-fgngr	29/10/14 22:27	43.044493	-87.976265	green
Astoria	NY	gur-yrgybir-vaa	30/10/14 17:24	40.775639	-73.914695	green
